"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1424","Check displaying of empty courses list","LMS system","Sat May 02 12:04:14 UTC 2026","passed","Sat May 02 12:04:15 UTC 2026","Courses","Courses","",""
"","2850","Create course","LMS system","Sat May 02 12:04:16 UTC 2026","passed","Sat May 02 12:04:19 UTC 2026","Courses","Courses","",""
"","1622","Check displaying of empty courses list","LMS system","Sat May 02 12:04:11 UTC 2026","passed","Sat May 02 12:04:12 UTC 2026","Courses","Courses","",""
"","1641","User login with wrong email or password","LMS system","Sat May 02 12:03:53 UTC 2026","passed","Sat May 02 12:03:55 UTC 2026","Authorization","Authentication","",""
"","3099","Create course","LMS system","Sat May 02 12:04:21 UTC 2026","passed","Sat May 02 12:04:25 UTC 2026","Courses","Courses","",""
"","1468","Check displaying of empty courses list","LMS system","Sat May 02 12:04:14 UTC 2026","passed","Sat May 02 12:04:16 UTC 2026","Courses","Courses","",""
"","1938","Registration with correct email, username and password","LMS system","Sat May 02 12:04:06 UTC 2026","passed","Sat May 02 12:04:08 UTC 2026","Registration","Authentication","",""
"","4244","Edit course","LMS system","Sat May 02 12:04:24 UTC 2026","passed","Sat May 02 12:04:28 UTC 2026","Courses","Courses","",""
"","2092","User login with wrong email or password","LMS system","Sat May 02 12:04:00 UTC 2026","passed","Sat May 02 12:04:02 UTC 2026","Authorization","Authentication","",""
"","1739","Navigation from login page to registration page","LMS system","Sat May 02 12:03:46 UTC 2026","passed","Sat May 02 12:03:48 UTC 2026","Authorization","Authentication","",""
"","3141","User login with correct email and password","LMS system","Sat May 02 12:03:52 UTC 2026","passed","Sat May 02 12:03:56 UTC 2026","Authorization","Authentication","",""
"","1699","Navigation from login page to registration page","LMS system","Sat May 02 12:03:43 UTC 2026","passed","Sat May 02 12:03:45 UTC 2026","Authorization","Authentication","",""
"","2007","Registration with correct email, username and password","LMS system","Sat May 02 12:04:10 UTC 2026","passed","Sat May 02 12:04:12 UTC 2026","Registration","Authentication","",""
"","3235","Edit course","LMS system","Sat May 02 12:04:20 UTC 2026","passed","Sat May 02 12:04:23 UTC 2026","Courses","Courses","",""
"","2495","Check displaying of dashboard page","LMS system","Sat May 02 12:04:32 UTC 2026","passed","Sat May 02 12:04:35 UTC 2026","Dashboard","Dashboard","",""
"","1834","User login with wrong email or password","LMS system","Sat May 02 12:03:49 UTC 2026","passed","Sat May 02 12:03:51 UTC 2026","Authorization","Authentication","",""
"","1682","User login with wrong email or password","LMS system","Sat May 02 12:03:57 UTC 2026","passed","Sat May 02 12:03:58 UTC 2026","Authorization","Authentication","",""
"","1536","User login with wrong email or password","LMS system","Sat May 02 12:03:51 UTC 2026","passed","Sat May 02 12:03:53 UTC 2026","Authorization","Authentication","",""
"","1599","User login with wrong email or password","LMS system","Sat May 02 12:04:01 UTC 2026","passed","Sat May 02 12:04:03 UTC 2026","Authorization","Authentication","",""
"","2659","User login with correct email and password","LMS system","Sat May 02 12:03:40 UTC 2026","passed","Sat May 02 12:03:42 UTC 2026","Authorization","Authentication","",""
"","2595","Check displaying of dashboard page","LMS system","Sat May 02 12:04:32 UTC 2026","passed","Sat May 02 12:04:35 UTC 2026","Dashboard","Dashboard","",""
"","1749","User login with wrong email or password","LMS system","Sat May 02 12:04:05 UTC 2026","passed","Sat May 02 12:04:06 UTC 2026","Authorization","Authentication","",""
"","1804","User login with wrong email or password","LMS system","Sat May 02 12:03:58 UTC 2026","passed","Sat May 02 12:04:00 UTC 2026","Authorization","Authentication","",""
"","1991","Check displaying of dashboard page","LMS system","Sat May 02 12:04:28 UTC 2026","passed","Sat May 02 12:04:30 UTC 2026","Dashboard","Dashboard","",""
"","1557","Navigation from login page to registration page","LMS system","Sat May 02 12:03:40 UTC 2026","passed","Sat May 02 12:03:41 UTC 2026","Authorization","Authentication","",""
"","3147","Edit course","LMS system","Sat May 02 12:04:28 UTC 2026","passed","Sat May 02 12:04:31 UTC 2026","Courses","Courses","",""
"","1874","Registration with correct email, username and password","LMS system","Sat May 02 12:04:04 UTC 2026","passed","Sat May 02 12:04:06 UTC 2026","Registration","Authentication","",""
"","1673","User login with wrong email or password","LMS system","Sat May 02 12:03:55 UTC 2026","passed","Sat May 02 12:03:57 UTC 2026","Authorization","Authentication","",""
"","2923","Create course","LMS system","Sat May 02 12:04:16 UTC 2026","passed","Sat May 02 12:04:19 UTC 2026","Courses","Courses","",""
"","7977","User login with correct email and password","LMS system","Sat May 02 12:03:43 UTC 2026","passed","Sat May 02 12:03:51 UTC 2026","Authorization","Authentication","",""
